family,model_name,list_type,k_test,mean_accuracy,num_rows
AC,AC-01,Seen,1,1.0,1
AC,AC-01,Seen,2,1.0,1
AC,AC-01,Seen,3,1.0,1
AC,AC-01,Seen,4,1.0,1
AC,AC-01,Seen,5,1.0,1
AC,AC-01,Seen,6,1.0,1
AC,AC-01,Seen,7,1.0,1
AC,AC-01,Seen,8,1.0,1
AC,AC-01,Seen,9,1.0,1
AC,AC-01,Seen,10,1.0,1
AC,AC-01,Seen,11,1.0,1
AC,AC-01,Seen,12,1.0,1
AC,AC-01,Seen,13,1.0,1
AC,AC-01,Seen,14,1.0,1
AC,AC-01,Seen,15,1.0,1
AC,AC-01,Seen,16,1.0,1
AC,AC-01,Seen,17,1.0,1
AC,AC-01,Seen,18,1.0,1
AC,AC-01,Seen,19,1.0,1
AC,AC-01,Seen,20,1.0,1
AC,AC-01,Seen,21,1.0,1
AC,AC-01,Seen,22,1.0,1
AC,AC-01,Seen,23,1.0,1
AC,AC-01,Seen,24,1.0,1
AC,AC-02,Seen,1,1.0,1
AC,AC-02,Seen,2,1.0,1
AC,AC-02,Seen,3,1.0,1
AC,AC-02,Seen,4,1.0,1
AC,AC-02,Seen,5,1.0,1
AC,AC-02,Seen,6,1.0,1
AC,AC-02,Seen,7,1.0,1
AC,AC-02,Seen,8,1.0,1
AC,AC-02,Seen,9,1.0,1
AC,AC-02,Seen,10,1.0,1
AC,AC-02,Seen,11,1.0,1
AC,AC-02,Seen,12,1.0,1
AC,AC-02,Seen,13,1.0,1
AC,AC-02,Seen,14,1.0,1
AC,AC-02,Seen,15,1.0,1
AC,AC-02,Seen,16,1.0,1
AC,AC-02,Seen,17,1.0,1
AC,AC-02,Seen,18,1.0,1
AC,AC-02,Seen,19,1.0,1
AC,AC-02,Seen,20,1.0,1
AC,AC-02,Seen,21,1.0,1
AC,AC-02,Seen,22,1.0,1
AC,AC-02,Seen,23,1.0,1
AC,AC-02,Seen,24,1.0,1
